#PressureID,Time,Timestamp,TopLeft,BottomLeft,BottomRight,TopRight
0,5.903,Mon Jul 02 10:44:50.880 2018,95,268,141,74
1,5.912,Mon Jul 02 10:44:50.889 2018,92,272,134,72
2,5.921,Mon Jul 02 10:44:50.898 2018,92,271,137,73
3,5.933,Mon Jul 02 10:44:50.910 2018,92,271,137,74
4,5.944,Mon Jul 02 10:44:50.922 2018,95,269,138,72
5,5.956,Mon Jul 02 10:44:50.933 2018,92,271,139,72
6,5.967,Mon Jul 02 10:44:50.944 2018,92,271,139,73
7,5.982,Mon Jul 02 10:44:50.959 2018,92,271,139,74
8,5.993,Mon Jul 02 10:44:50.970 2018,90,270,139,74
9,6.003,Mon Jul 02 10:44:50.980 2018,91,267,139,74
10,6.011,Mon Jul 02 10:44:50.987 2018,88,265,137,79
11,6.021,Mon Jul 02 10:44:50.997 2018,88,264,137,73
12,6.032,Mon Jul 02 10:44:51.008 2018,86,268,138,74
13,6.045,Mon Jul 02 10:44:51.022 2018,92,270,139,73
14,6.053,Mon Jul 02 10:44:51.030 2018,91,269,139,74
15,6.058,Mon Jul 02 10:44:51.035 2018,87,270,136,68
16,6.067,Mon Jul 02 10:44:51.043 2018,92,270,134,72
17,6.077,Mon Jul 02 10:44:51.053 2018,93,269,139,72
18,6.092,Mon Jul 02 10:44:51.069 2018,92,270,138,70
19,6.099,Mon Jul 02 10:44:51.076 2018,95,273,140,71
20,6.107,Mon Jul 02 10:44:51.083 2018,92,271,139,68
21,6.114,Mon Jul 02 10:44:51.091 2018,91,272,141,68
22,6.123,Mon Jul 02 10:44:51.100 2018,92,271,138,74
23,6.138,Mon Jul 02 10:44:51.115 2018,90,270,139,80
24,6.152,Mon Jul 02 10:44:51.129 2018,95,271,139,75
25,6.154,Mon Jul 02 10:44:51.131 2018,88,270,141,70
26,6.161,Mon Jul 02 10:44:51.138 2018,95,271,138,74
27,6.17,Mon Jul 02 10:44:51.147 2018,86,268,137,79
28,6.179,Mon Jul 02 10:44:51.156 2018,92,268,134,72
29,6.204,Mon Jul 02 10:44:51.181 2018,95,269,137,73
30,6.219,Mon Jul 02 10:44:51.196 2018,92,269,139,74
31,6.229,Mon Jul 02 10:44:51.206 2018,92,271,136,72
32,6.234,Mon Jul 02 10:44:51.211 2018,88,272,136,78
33,6.241,Mon Jul 02 10:44:51.218 2018,92,272,136,69
34,6.244,Mon Jul 02 10:44:51.221 2018,95,277,136,78
35,6.25,Mon Jul 02 10:44:51.227 2018,93,273,139,67
36,6.259,Mon Jul 02 10:44:51.236 2018,91,274,137,74
37,6.269,Mon Jul 02 10:44:51.246 2018,89,271,138,73
38,6.277,Mon Jul 02 10:44:51.254 2018,89,273,135,74
39,6.288,Mon Jul 02 10:44:51.265 2018,88,270,138,75
40,6.296,Mon Jul 02 10:44:51.273 2018,85,271,143,72
41,6.302,Mon Jul 02 10:44:51.279 2018,86,273,139,73
42,6.313,Mon Jul 02 10:44:51.290 2018,85,269,137,71
43,6.323,Mon Jul 02 10:44:51.300 2018,95,273,139,77
44,6.333,Mon Jul 02 10:44:51.310 2018,92,269,136,74
45,6.344,Mon Jul 02 10:44:51.322 2018,92,273,138,72
46,6.353,Mon Jul 02 10:44:51.330 2018,92,274,132,72
47,6.361,Mon Jul 02 10:44:51.338 2018,95,274,142,75
48,6.369,Mon Jul 02 10:44:51.346 2018,91,274,136,68
49,6.381,Mon Jul 02 10:44:51.357 2018,100,278,140,68
50,6.4,Mon Jul 02 10:44:51.377 2018,95,274,139,74
51,6.412,Mon Jul 02 10:44:51.388 2018,88,272,139,71
52,6.423,Mon Jul 02 10:44:51.400 2018,95,274,139,74
53,6.445,Mon Jul 02 10:44:51.422 2018,88,270,138,79
54,6.458,Mon Jul 02 10:44:51.435 2018,88,274,140,74
55,6.478,Mon Jul 02 10:44:51.455 2018,89,269,136,73
56,6.487,Mon Jul 02 10:44:51.463 2018,95,272,137,75
57,6.502,Mon Jul 02 10:44:51.478 2018,91,272,134,72
58,6.523,Mon Jul 02 10:44:51.500 2018,91,270,138,73
59,6.536,Mon Jul 02 10:44:51.513 2018,90,272,139,72
60,6.554,Mon Jul 02 10:44:51.531 2018,91,269,139,72
61,6.569,Mon Jul 02 10:44:51.546 2018,89,271,140,72
62,6.579,Mon Jul 02 10:44:51.556 2018,89,278,146,75
63,6.602,Mon Jul 02 10:44:51.579 2018,91,273,138,74
64,6.612,Mon Jul 02 10:44:51.589 2018,88,272,144,75
65,6.623,Mon Jul 02 10:44:51.600 2018,93,271,141,79
66,6.644,Mon Jul 02 10:44:51.621 2018,79,271,141,71
67,6.665,Mon Jul 02 10:44:51.643 2018,83,272,139,74
68,6.68,Mon Jul 02 10:44:51.658 2018,90,264,137,79
69,6.692,Mon Jul 02 10:44:51.669 2018,90,265,141,74
70,6.713,Mon Jul 02 10:44:51.690 2018,87,265,137,73
71,6.722,Mon Jul 02 10:44:51.699 2018,87,265,141,73
72,6.742,Mon Jul 02 10:44:51.718 2018,86,267,136,72
